Country,SingleMother,FemaleHead,PerCapitaGDP,LogGDP,MaleHead,Group,Growth,Robbery,Rape,Murder
Belgium,22,33,46117,4.66386104784594,67,w,,205.12,,
France,21,49,39257,4.59391710796834,51,w,,195.1,,
Portugal,14,31,21608,4.33461457117939,69,w,,160,,
United States,24,47,63051,4.79969197895094,53,w,,109.07,,
Italy,9,32,30657,4.48652965387153,68,w,,105.99,,
UK,28,29,39229,4.59360723751987,71,w,,101.57,,
Kazakhstan,19,33,8782,3.94359343276837,67,a,4.5,83,,
Netherlands,12,52,51250,4.70969386972779,48,w,,79.24,,
Canada,17,39,47000,4.67209785793572,61,w,,65.87,,
Ireland,22,56,79669,4.90128936596427,44,w,,60.8,,
Germany,20,33,45466,4.65768674759983,67,w,,58.19,,
Ukraine,28,49,3425,3.53466057582844,51,w,,51,,
Poland,15,38,15300,4.1846914308176,62,w,,46,,
Switzerland,11,37,83000,4.91907809237607,63,w,,39.41,,
Turkey,5,12,7715,3.88733593039917,88,a,5.61,33,,
Kyrgyzstan,14,24,1148,3.05994188806195,76,a,4.5,28,,
Slovakia,14,28,18700,4.2718416065365,72,w,,22,,
Mongolia,20,17,3990,3.60097289568675,83,a,5.82,20,,
Chzechia,19,27,22627,4.35462697685295,73,w,,20,,
Romania,7,28,12813,4.10765082614649,72,w,,17,,
Pakistan,16,11,1378,3.13924921757161,89,a,5.17,12,,
Armenia,12,29,4315,3.63498080005123,71,a,7.6,10,,
Cyprus,10,20,26240,4.41896383070362,80,a,3.2,9,,
Jordan,5,13,4174,3.62055244472943,87,a,2.43,6,,
Moldova,20,34,4268,3.63022441075243,66,w,,4,,
Tajikistan,12,21,834,2.92116605063774,79,a,6.51,3.3,,
China,7,15,10840,4.03502928220237,85,a,7.01,3,,
India,8,12,1877,3.27346427262135,88,a,7.16,2.85,,
Azerbaijan,14,25,4721,3.67403400043125,75,a,2.3,2.5,,
Thailand,15,26,7295,3.86302529622947,74,a,3.06,2,,
Yemen,10,8,645,2.80955971463527,92,a,-11.76,,,
Vietnam,10,27,3498,3.54381980514266,73,a,6.28,,,
Uzbekistan,8,22,1763,3.24625231229932,78,a,5.6,,,
Timor,9,12,1456,3.16316137497702,88,a,3.1,,,
Slovenia,11,52,25039,4.39861698016323,48,w,,,,
Palestine,4,10,3424,3.53453375600511,90,a,1.72,,,
Nepal,34,28,1116,3.04766419460156,72,a,4.57,,,
Myanmar,14,23,1333,3.12483014941386,77,a,6.98,,,
Malta,14,23,28469,4.45437221241884,77,w,,,,
Maldives,29,35,12646,4.1019531774772,65,a,5.7,,,
Malaysia,8,14,10192,4.00825941499128,86,a,4.3,,,
Luxemburg,12,39,109600,5.03981055414835,61,w,,,,
Lithuania,27,56,19883,4.29848191251348,44,w,,,,
Latvia,26,69,17230,4.23628527744803,31,w,,,,
Israel,8,30,41560,4.61867553888514,70,w,,,,
Iraq,12,10,4438,3.64718729789599,90,a,3.89,,,
Iran,4,12,7257,3.86075712308154,88,a,2.73,,,
Hungary,20,29,15373,4.18675862718161,71,w,,,,
Greece,7,25,18168,4.25930712121168,75,w,,,,
Estonia,20,36,23000,4.36172783601759,64,w,,,,
Cambodia,11,27,1572,3.19645254170339,73,a,7,,,
Bulgaria,12,32,9826,3.9923767597988,68,w,,,,
Belarus,25,52,6134,3.78774377164647,48,w,,,,
Austria,13,38,48634,4.68693999045008,62,w,,,,
Albania,12,16,4898,3.69001878078869,84,w,,,,
Afghanistan,5,2,499,2.69810054562339,98,a,3.8,,,
